sortie_id,vessel_id,crew_id,date,sortie_type,fuel_consumed_tons
SRT-0001,IN_001,NVC-001,2024-11-05,Fleet Exercise,250
SRT-0002,IN_002,NVC-002,2024-10-18,Patrol,80
SRT-0003,IN_003,NVC-003,2024-12-01,Anti-Submarine Warfare,110
SRT-0004,IN_004,NVC-004,2024-11-22,Escort,90
SRT-0005,IN_005,NVC-005,2024-09-10,Anti-Submarine Warfare,20
SRT-0006,IN_006,NVC-006,2024-10-25,ISR,15
SRT-0007,IN_007,NVC-007,2024-11-30,Patrol,45
SRT-0008,IN_008,NVC-008,2024-12-12,Humanitarian Aid,60
SRT-0009,IN_009,NVC-009,2024-10-02,ISR,180
SRT-0010,IN_010,NVC-010,2024-11-17,Strike,320
SRT-0011,IN_011,NVC-011,2024-09-22,Fleet Exercise,90
SRT-0012,IN_012,NVC-012,2024-12-07,Anti-Submarine Warfare,18
SRT-0013,IN_013,NVC-013,2024-10-30,Patrol,100
SRT-0014,IN_014,NVC-014,2024-11-10,ISR,12
SRT-0015,IN_015,NVC-015,2024-12-18,Patrol,170
SRT-0016,IN_016,NVC-016,2024-09-15,Port Visit,30
SRT-0017,IN_017,NVC-017,2024-10-08,Strike,280
SRT-0018,IN_018,NVC-018,2024-11-27,Anti-Submarine Warfare,22
SRT-0019,IN_019,NVC-019,2024-12-10,Fleet Exercise,300
SRT-0020,IN_020,NVC-020,2024-10-20,Escort,85